,average,max drawdown,negative day,negative periods,negative week,portfolio value,positive periods,postive day,postive week,sharpe ratio
nntrader,1.0015387544632564,0.24646220597607982,541,1581,44,45.320450037356366,1195,2235,2732,0.08486784639753066
olmar,1.0007684230804443,0.5935977101325989,1332,1448,1212,4.586964130401611,1322,1444,1564,0.036600321531295776
crp,1.0002442598342896,0.23359835147857666,1028,1261,620,1.8355438709259033,1515,1748,2156,0.03418837487697601
